RouteUID,RouteID,RouteName_Zh,RouteName_En,Direction,CityCode
TXG1,1,1,1,0,TXG
TXG1,1,1,1,1,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,0,TXG
TXG1010,1010,綠美圖會展中心巡迴公車,Green Museumbrary T.I.C.E.C. Shuttle Bus,1,TXG
TXG151,151,151,151,0,TXG
TXG151,151,151,151,1,TXG
TXG1511,1511,151延,151E,0,TXG
TXG1511,1511,151延,151E,1,TXG
TXG152,152,152,152,0,TXG
TXG152,152,152,152,1,TXG
TXG1521,1521,152延,152E,0,TXG
TXG1522,1522,152區2,152S2,0,TXG
TXG1522,1522,152區2,152S2,1,TXG
TXG155,155,155,155,0,TXG
TXG155,155,155,155,1,TXG
TXG1551,1551,155副,155V,0,TXG
TXG1551,1551,155副,155V,1,TXG
TXG159,159,159,159,0,TXG
TXG159,159,159,159,1,TXG
TXG162,162,162,162,0,TXG
TXG162,162,162,162,1,TXG
TXG20,20,20,20,0,TXG
TXG20,20,20,20,1,TXG
TXG23,23,23,23,0,TXG
TXG23,23,23,23,1,TXG
TXG241,241,241,241,0,TXG
TXG241,241,241,241,1,TXG
TXG242,242,242,242,0,TXG
TXG242,242,242,242,1,TXG
TXG25,25,25,25,0,TXG
TXG25,25,25,25,1,TXG
TXG281,281,281,281,0,TXG
TXG281,281,281,281,1,TXG
TXG2811,2811,281延,281E,0,TXG
TXG2811,2811,281延,281E,1,TXG
TXG282,282,282,282,0,TXG
TXG282,282,282,282,1,TXG
TXG2821,2821,282副,282V,0,TXG
TXG2821,2821,282副,282V,1,TXG
TXG291,291,291,291,0,TXG
TXG291,291,291,291,1,TXG
TXG3,3,3,3,0,TXG
TXG3,3,3,3,1,TXG
TXG301,301,301,301,0,TXG
TXG301,301,301,301,1,TXG
TXG302,302,302,302,0,TXG
TXG302,302,302,302,1,TXG
TXG3021,3021,302延,302E,0,TXG
TXG3021,3021,302延,302E,1,TXG
TXG303,303,303,303,0,TXG
TXG303,303,303,303,1,TXG
TXG308,308,308,308,0,TXG
TXG308,308,308,308,1,TXG
TXG3081,3081,308副,308V,0,TXG
TXG3081,3081,308副,308V,1,TXG
TXG3082,3082,308副繞,308A,0,TXG
TXG326,326,326,326,0,TXG
TXG326,326,326,326,1,TXG
TXG3510,3510,351,351,0,TXG
TXG3510,3510,351,351,1,TXG
TXG3541,3541,354,354,0,TXG
TXG3541,3541,354,354,1,TXG
TXG37,37,37,37,0,TXG
TXG37,37,37,37,1,TXG
TXG4020,4020,綠2,G2,0,TXG
TXG4020,4020,綠2,G2,1,TXG
TXG4030,4030,綠3,G3,0,TXG
TXG4030,4030,綠3,G3,1,TXG
TXG4040,4040,綠4,G4,0,TXG
TXG4040,4040,綠4,G4,1,TXG
TXG4041,4041,綠4延,G4E,0,TXG
TXG4041,4041,綠4延,G4E,1,TXG
TXG50,50,50,50,0,TXG
TXG50,50,50,50,1,TXG
TXG56,56,56,56,0,TXG
TXG56,56,56,56,1,TXG
TXG5601,5601,56延,56E,0,TXG
TXG59,59,59,59,0,TXG
TXG59,59,59,59,1,TXG
TXG61,61,61,61,0,TXG
TXG61,61,61,61,1,TXG
TXG63,63,63,63,0,TXG
TXG63,63,63,63,1,TXG
TXG651,651,651,651,0,TXG
TXG651,651,651,651,1,TXG
TXG658,658,658,658,0,TXG
TXG658,658,658,658,1,TXG
TXG6581,6581,658副,658V,0,TXG
TXG6581,6581,658副,658V,1,TXG
TXG6750,6750,675,675,0,TXG
TXG6750,6750,675,675,1,TXG
TXG695,695,695,695,0,TXG
TXG695,695,695,695,1,TXG
TXG7000,7000,700,700,0,TXG
TXG7000,7000,700,700,1,TXG
TXG73,73,73,73,0,TXG
TXG73,73,73,73,1,TXG
TXG75,75,75,75,0,TXG
